,Cidade,Area,Quartos,Banheiros,Vagas Garagem,Andar,Animal,Mobiliado,Condominio,Aluguel,IPTU,Seguro Incendio,Total
214,True,400.0,4,4,3,-,True,False,,,,,
215,True,170.0,2,1,0,1,True,True,,,,,
216,True,90.0,1,1,0,-,True,False,,,,,
217,True,184.0,3,4,3,12,True,False,,,,,
218,True,117.0,2,2,1,11,False,True,,,,,
219,True,11.0,1,1,0,-,False,True,,,,,
220,False,57.0,1,1,1,2,True,False,,,,,
221,True,16.0,1,1,0,1,False,False,,,,,
222,True,180.0,4,3,1,4,True,True,,,,,
223,True,250.0,3,4,2,16,True,False,,,,,
224,True,220.0,3,4,2,-,True,True,,,,,
225,True,360.0,3,5,4,22,True,False,,,,,
226,True,122.0,3,4,3,5,True,False,,,,,
227,True,138.0,3,4,3,2,False,False,,,,,
228,True,110.0,3,1,1,1,True,False,,,,,
229,True,220.0,4,3,3,3,True,False,,,,,
230,True,118.0,3,2,1,11,False,False,,,,,
231,True,180.0,2,2,1,15,True,False,,,,,
232,True,52.0,2,1,1,7,True,False,,,,,
233,True,30.0,1,1,0,1,True,True,,,,,
234,True,160.0,3,3,2,5,True,True,,,,,
235,False,209.0,3,3,2,-,False,False,,,,,
236,True,450.0,5,5,6,-,True,False,,,,,
237,True,117.0,3,3,3,10,True,False,,,,,
238,True,900.0,4,6,8,-,True,False,,,,,
239,True,200.0,3,3,0,-,True,False,,,,,
240,True,128.0,3,3,2,10,True,False,,,,,
241,True,140.0,3,2,2,2,True,False,,,,,
242,True,180.0,3,3,4,27,True,False,,,,,
243,True,280.0,4,4,5,9,True,False,,,,,
244,True,420.0,4,6,4,8,True,False,,,,,
245,True,48.0,1,1,1,8,True,True,,,,,
246,True,148.0,3,2,2,2,False,True,,,,,
247,True,75.0,2,1,1,5,False,False,,,,,
248,True,44.0,1,1,0,1,False,False,,,,,
249,True,35.0,1,1,0,-,True,False,,,,,
250,True,320.0,4,2,2,-,True,True,,,,,
251,False,98.0,3,2,1,1,True,False,,,,,
252,False,51.0,1,1,0,12,False,True,,,,,
253,True,322.0,4,5,5,17,True,True,,,,,
254,True,187.0,4,5,3,5,True,False,,,,,
255,True,62.0,3,2,1,6,False,True,,,,,
256,True,130.0,2,2,1,-,True,False,,,,,
257,False,600.0,4,6,3,-,True,False,,,,,
258,True,520.0,3,4,2,-,True,False,,,,,
259,True,86.0,1,2,1,13,True,True,,,,,
260,True,72.0,2,2,1,6,True,False,,,,,
261,True,550.0,4,4,4,-,True,False,,,,,
262,True,50.0,1,1,0,-,False,False,,,,,
263,True,298.0,5,3,3,-,True,False,,,,,
264,False,74.0,3,2,1,10,True,False,,,,,
265,True,41.0,1,1,0,17,True,True,,,,,
266,False,80.0,3,2,2,2,True,False,,,,,
267,True,130.0,3,2,1,1,True,False,,,,,
268,True,64.0,1,2,2,15,True,False,,,,,
269,True,50.0,1,1,1,9,False,False,,,,,
270,True,200.0,3,2,4,-,True,False,,,,,
271,True,70.0,1,1,2,9,True,True,,,,,
272,False,41.0,1,1,1,11,True,False,,,,,
273,True,89.0,2,2,0,2,True,False,,,,,
274,True,250.0,4,2,8,-,True,False,,,,,
275,True,105.0,2,1,0,-,True,False,,,,,
276,True,150.0,2,2,1,-,True,False,,,,,
277,True,50.0,2,1,1,14,False,False,,,,,
278,True,180.0,3,2,1,-,True,False,,,,,
279,True,50.0,1,1,0,-,False,False,,,,,
280,False,70.0,1,1,2,-,True,False,,,,,
281,True,177.0,2,2,2,-,True,False,,,,,
282,True,177.0,4,5,4,12,True,False,,,,,
283,True,18.0,1,1,0,-,True,False,,,,,
284,True,200.0,3,4,2,-,True,False,,,,,
285,True,45.0,1,1,1,1,False,True,,,,,
286,False,70.0,2,1,1,3,True,False,,,,,
287,True,66.0,3,2,1,9,True,False,,,,,
288,True,48.0,2,1,0,2,True,False,,,,,
289,True,515.0,5,4,3,5,True,False,,,,,
290,True,55.0,2,2,1,7,True,False,,,,,
291,True,350.0,4,5,2,-,True,False,,,,,
292,True,260.0,3,3,3,8,True,True,,,,,
293,True,78.0,2,1,1,7,True,False,,,,,
294,True,35.0,1,1,0,6,True,True,,,,,
295,True,106.0,2,1,2,-,False,False,,,,,
296,True,500.0,3,3,5,-,True,True,,,,,
297,True,38.0,1,1,0,-,False,False,,,,,
298,True,153.0,2,2,1,15,True,True,,,,,
299,True,64.0,2,2,2,5,True,False,,,,,
300,True,260.0,3,4,4,-,True,False,,,,,
301,False,50.0,1,1,1,11,True,False,,,,,
302,True,170.0,3,2,1,14,True,True,,,,,
303,True,120.0,2,2,2,15,True,True,,,,,
304,True,700.0,4,5,2,10,True,True,,,,,
305,True,270.0,5,7,2,-,True,False,,,,,
306,True,40.0,1,1,0,6,True,False,,,,,
307,True,640.0,4,4,4,12,True,True,,,,,
308,True,40.0,1,1,0,-,True,False,,,,,
309,True,40.0,2,1,0,3,True,False,,,,,
310,True,42.0,1,1,1,-,True,True,,,,,
311,True,62.0,1,1,0,3,True,False,,,,,
312,True,106.0,2,3,2,18,False,True,,,,,
313,True,103.0,3,2,1,7,True,False,,,,,
314,True,360.0,3,5,3,13,True,False,,,,,
315,True,113.0,1,1,2,9,True,True,,,,,
316,True,164.0,4,4,3,1,True,False,,,,,
317,True,110.0,3,2,3,-,True,False,,,,,
318,True,110.0,2,2,1,8,True,True,,,,,
319,True,136.0,4,3,1,3,True,False,,,,,
320,False,65.0,1,1,1,9,True,False,,,,,
321,True,62.0,2,1,1,8,False,False,,,,,
322,False,163.0,3,5,3,20,True,False,,,,,
323,True,47.0,2,1,1,12,True,False,,,,,
324,True,50.0,1,1,1,1,True,False,,,,,
325,True,79.0,3,2,2,6,True,True,,,,,
326,True,250.0,3,3,2,7,False,True,,,,,
327,True,50.0,2,1,1,6,True,False,,,,,
328,True,150.0,3,3,2,-,True,False,,,,,
329,False,76.0,2,1,0,2,True,False,,,,,
330,True,72.0,2,2,1,7,True,False,,,,,
331,True,35.0,1,1,1,17,True,True,,,,,
332,True,250.0,3,4,4,16,True,False,,,,,
333,False,85.0,3,1,1,9,False,False,,,,,
334,False,60.0,1,1,1,14,True,False,,,,,
335,False,47.0,2,1,1,-,True,False,,,,,
336,True,104.0,3,3,2,3,False,True,,,,,
337,False,203.0,3,1,2,-,True,False,,,,,
338,True,136.0,3,2,1,85,True,False,,,,,
339,True,53.0,1,1,1,3,True,False,,,,,
340,True,400.0,4,3,2,-,True,False,,,,,
341,True,40.0,1,1,1,14,True,True,,,,,
342,True,38.0,1,1,0,6,True,False,,,,,
343,True,340.0,4,6,4,8,True,True,,,,,
344,False,134.0,3,3,2,7,False,False,,,,,
345,True,97.0,2,2,0,9,True,True,,,,,
346,True,90.0,1,1,0,-,False,False,,,,,
347,True,260.0,4,5,2,1,True,True,,,,,
348,True,66.0,2,1,0,7,True,False,,,,,
349,True,92.0,2,1,1,12,False,False,,,,,
350,True,92.0,3,3,1,3,True,True,,,,,
351,True,155.0,3,4,2,14,True,False,,,,,
352,True,30.0,1,1,0,1,False,False,,,,,
353,True,27.0,1,1,0,5,False,False,,,,,
354,True,175.0,4,3,2,-,True,False,,,,,
355,True,326.0,3,4,4,12,True,False,,,,,
356,True,236.0,4,5,4,7,True,False,,,,,
357,False,119.0,3,1,1,5,True,False,,,,,
358,True,23.0,1,1,0,23,True,False,,,,,
359,True,260.0,2,4,4,19,False,False,,,,,
360,True,400.0,3,3,2,-,False,False,,,,,
361,True,87.0,1,1,2,14,True,True,,,,,
362,True,65.0,2,1,1,-,True,False,,,,,
363,True,210.0,3,4,4,11,True,True,,,,,
364,True,250.0,3,4,2,-,True,False,,,,,
365,True,155.0,3,2,3,4,True,True,,,,,
366,False,300.0,4,3,5,-,True,False,,,,,
367,False,70.0,3,2,2,4,True,False,,,,,
368,True,68.0,1,2,1,11,True,False,,,,,
369,False,220.0,3,5,3,4,False,True,,,,,
370,False,91.0,3,2,2,12,True,False,,,,,
371,False,230.0,4,4,8,-,True,False,,,,,
372,False,48.0,2,1,0,4,True,False,,,,,
373,True,90.0,2,2,2,15,False,True,,,,,
374,True,60.0,1,1,1,15,True,True,,,,,
375,True,450.0,4,4,3,14,True,False,,,,,
376,True,16.0,1,1,0,1,False,False,,,,,
377,True,100.0,3,2,1,8,True,False,,,,,
378,True,300.0,3,3,3,-,True,False,,,,,
379,True,151.0,3,4,3,14,False,True,,,,,
380,True,150.0,3,4,3,12,True,True,,,,,
381,True,57.0,2,1,1,7,True,False,,,,,
382,True,30.0,1,1,1,4,False,True,,,,,
383,False,53.0,1,1,1,8,True,True,,,,,
384,True,270.0,3,4,3,-,True,False,,,,,
385,True,78.0,2,2,2,8,True,True,,,,,
386,True,20.0,1,1,0,1,False,True,,,,,
387,True,140.0,5,2,1,1,True,True,,,,,
388,True,155.0,3,3,2,2,True,True,,,,,
389,True,118.0,3,2,4,1,True,False,,,,,
390,False,235.0,4,4,3,13,True,False,,,,,
391,True,400.0,4,4,4,9,True,False,,,,,
392,True,80.0,2,2,1,6,False,False,,,,,
393,True,50.0,1,1,0,2,False,True,,,,,
394,False,55.0,2,2,1,9,True,False,,,,,
395,True,400.0,4,4,4,-,True,False,,,,,
396,True,63.0,3,2,0,18,True,False,,,,,
397,True,325.0,4,3,2,3,True,False,,,,,
398,True,200.0,3,3,2,7,False,True,,,,,
399,True,58.0,2,2,1,5,True,True,,,,,
400,True,180.0,3,2,3,-,True,False,,,,,
401,True,159.0,3,2,0,5,True,False,,,,,
402,True,420.0,4,3,4,-,True,False,,,,,
403,True,88.0,3,1,2,5,True,False,,,,,
404,False,70.0,3,1,1,6,True,False,,,,,
405,True,246.0,4,5,4,12,False,False,,,,,
406,True,53.0,2,1,1,1,True,False,,,,,
407,True,22.0,1,1,1,19,False,False,,,,,
408,True,80.0,1,1,0,-,True,False,,,,,
409,True,30.0,1,1,1,11,True,True,,,,,
410,False,157.0,3,5,3,1,True,False,,,,,
411,True,450.0,3,3,8,-,True,True,,,,,
412,True,90.0,3,2,0,-,True,False,,,,,
413,True,88.0,2,1,0,7,False,False,,,,,
414,False,46.0,1,1,0,5,True,True,,,,,
415,True,189.0,4,2,2,4,True,False,,,,,
416,True,49.0,2,1,1,10,False,False,,,,,
417,True,180.0,3,2,2,2,True,False,,,,,
418,True,128.0,3,3,2,1,True,False,,,,,
419,True,60.0,2,2,0,-,True,False,,,,,
420,True,74.0,3,2,1,7,True,False,,,,,
421,True,80.0,1,1,1,10,True,False,,,,,
422,True,150.0,3,2,1,-,True,False,,,,,
423,True,70.0,3,2,1,3,True,False,,,,,
424,True,113.0,3,2,2,2,True,False,,,,,
425,False,50.0,1,1,0,-,True,False,,,,,
426,True,300.0,4,2,2,1,True,True,,,,,
427,True,140.0,2,3,1,3,True,True,,,,,
428,True,300.0,4,5,1,8,True,True,,,,,
429,True,350.0,5,4,8,-,False,False,,,,,
430,True,78.0,2,1,1,-,True,False,,,,,
431,False,110.0,2,2,0,18,True,True,,,,,
432,True,423.0,4,5,7,28,True,False,,,,,
433,True,110.0,1,1,0,20,True,False,,,,,
434,True,136.0,2,4,2,7,True,False,,,,,
435,True,56.0,2,1,1,3,True,False,,,,,
436,True,20.0,1,1,0,3,True,True,,,,,
437,True,115.0,3,2,2,8,True,False,,,,,
438,True,140.0,2,2,1,3,False,False,,,,,
439,True,64.0,2,1,1,2,True,False,,,,,
440,True,60.0,2,1,1,15,True,True,,,,,
441,True,132.0,3,2,1,11,True,False,,,,,
442,True,210.0,4,3,3,11,True,False,,,,,
443,True,300.0,4,4,3,-,True,True,,,,,
444,True,130.0,3,2,2,-,True,False,,,,,
445,True,108.0,2,4,2,7,True,False,,,,,
446,True,75.0,2,2,1,4,True,False,,,,,
447,True,250.0,3,3,3,-,True,False,,,,,
448,False,55.0,1,1,0,5,True,False,,,,,
449,True,129.0,3,2,3,5,False,True,,,,,
450,True,158.0,4,4,3,5,True,False,,,,,
451,True,100.0,3,3,2,1,True,False,,,,,
452,True,130.0,3,2,3,-,True,True,,,,,
453,True,25.0,1,1,0,-,True,False,,,,,
454,True,240.0,3,2,3,-,True,False,,,,,
455,True,196.0,3,4,2,1,False,False,,,,,
456,True,39.0,1,1,1,5,True,False,,,,,
457,False,46.0,2,1,1,3,True,False,,,,,
458,True,120.0,3,2,0,1,True,False,,,,,
459,True,270.0,2,2,3,17,True,False,,,,,
460,True,700.0,4,10,0,-,True,False,,,,,
461,False,462.0,4,7,4,-,True,False,,,,,
462,True,35.0,1,1,1,9,True,True,,,,,
463,True,90.0,3,3,2,12,False,False,,,,,
464,True,98.0,3,2,2,1,True,False,,,,,
465,True,159.0,2,2,1,8,True,True,,,,,
466,True,115.0,3,5,2,10,True,False,,,,,
467,True,400.0,3,3,1,3,True,False,,,,,
468,False,60.0,2,1,1,9,False,False,,,,,
469,True,220.0,3,4,3,11,True,True,,,,,
470,True,67.0,2,1,1,4,True,False,,,,,
471,True,165.0,3,4,3,7,True,False,,,,,
472,True,100.0,2,4,0,1,True,False,,,,,
473,True,55.0,1,2,1,2,True,False,,,,,
474,False,35.0,1,1,1,2,True,False,,,,,
475,True,51.0,1,1,1,10,True,True,,,,,
476,True,73.0,2,2,1,13,True,False,,,,,
477,True,320.0,5,5,4,4,True,False,,,,,
478,True,35.0,1,1,1,7,True,False,,,,,
479,True,46.0,1,1,0,3,True,False,,,,,
480,False,350.0,4,3,4,-,False,False,,,,,
481,True,340.0,4,4,3,2,True,False,,,,,
482,True,28.0,1,1,1,4,False,True,,,,,
483,True,125.0,3,2,2,-,True,True,,,,,
484,True,44.0,1,1,1,3,True,False,,,,,
485,True,95.0,2,1,1,15,True,False,,,,,
486,True,310.0,3,4,3,8,True,False,,,,,
487,True,48.0,2,1,0,3,True,False,,,,,
488,True,30.0,4,4,2,-,True,True,,,,,
489,False,46.0,1,1,1,10,True,False,,,,,
490,True,141.0,3,2,2,4,True,False,,,,,
491,True,58.0,1,1,1,17,True,False,,,,,
492,True,48.0,2,1,0,-,True,False,,,,,
493,True,560.0,5,5,6,-,True,False,,,,,
494,True,98.0,3,2,1,9,True,False,,,,,
495,True,340.0,3,4,4,2,False,False,,,,,
496,True,224.0,4,4,3,2,True,True,,,,,
497,False,50.0,1,1,1,3,True,False,,,,,
498,True,250.0,3,4,3,8,True,False,,,,,
499,True,100.0,2,2,1,6,True,False,,,,,
500,True,600.0,3,3,4,-,True,False,,,,,
501,False,114.0,3,2,1,4,True,False,,,,,
502,False,67.0,2,1,1,2,True,False,,,,,
503,True,160.0,4,3,2,9,True,True,,,,,
504,True,130.0,2,2,1,17,True,False,,,,,
505,True,114.0,1,1,1,6,True,False,,,,,
506,True,52.0,2,1,1,4,True,False,,,,,
507,True,31.0,1,1,0,6,True,True,,,,,
508,True,78.0,2,1,1,1,True,False,,,,,
509,True,60.0,2,2,1,3,True,True,,,,,
510,True,40.0,1,1,0,5,True,False,,,,,
511,True,145.0,4,4,3,14,True,False,,,,,
512,True,127.0,2,3,2,2,True,False,,,,,
513,True,330.0,4,5,4,13,True,False,,,,,
514,False,180.0,4,3,1,11,False,False,,,,,
515,True,120.0,4,3,2,13,True,True,,,,,
516,True,40.0,1,1,1,10,False,True,,,,,
517,True,160.0,4,4,2,-,True,False,,,,,
518,False,130.0,3,2,2,4,True,True,,,,,
519,True,80.0,2,1,1,2,True,False,,,,,
520,True,112.0,3,4,3,9,True,False,,,,,
521,True,30.0,1,1,1,10,False,False,,,,,
522,True,184.0,4,3,3,2,True,True,,,,,
523,True,56.0,2,1,1,11,True,True,,,,,
524,True,40.0,1,1,1,6,False,True,,,,,
525,True,65.0,2,2,1,7,True,False,,,,,
526,True,146.0,3,2,2,14,True,True,,,,,
527,False,60.0,2,1,1,3,True,False,,,,,
528,True,170.0,3,2,2,4,True,True,,,,,
529,True,240.0,4,4,4,8,True,True,,,,,
530,True,200.0,4,2,2,-,True,True,,,,,
531,True,69.0,2,1,1,3,True,False,,,,,
532,True,224.0,3,4,2,9,True,False,,,,,
533,True,109.0,3,2,2,20,True,True,,,,,
534,True,50.0,2,1,2,9,False,False,,,,,
535,False,59.0,2,1,1,5,True,False,,,,,
536,True,162.0,2,3,3,3,False,True,,,,,
537,False,93.0,3,2,1,7,True,False,,,,,
538,True,580.0,6,6,6,-,True,False,,,,,
539,True,216.0,3,4,2,10,True,False,,,,,
540,True,90.0,2,1,0,9,False,False,,,,,
541,True,200.0,3,3,2,7,True,False,,,,,
542,False,55.0,1,1,0,4,True,False,,,,,
543,True,40.0,1,1,1,3,False,False,,,,,
544,True,87.0,3,3,2,12,False,True,,,,,
545,True,60.0,2,1,0,-,True,False,,,,,
546,True,70.0,3,2,1,7,True,False,,,,,
547,True,243.0,2,3,2,-,True,False,,,,,
548,True,78.0,1,1,2,8,False,True,,,,,
549,True,103.0,2,1,0,-,True,False,,,,,
550,True,72.0,3,2,1,3,False,False,,,,,
551,True,95.0,1,2,2,15,True,False,,,,,
552,True,135.0,3,2,2,9,True,False,,,,,
553,True,310.0,5,4,5,3,True,False,,,,,
554,True,68.0,2,2,1,18,False,True,,,,,
